Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Mean_Humidity,Mean_Sea_Level_Pressure_In,Mean_Wind_Speed_MPH,Precipitation_In,Events
3/11/2016,55,46,36,90,29.63,3,0.35,Fog-Rain
3/12/2016,51,46,39,81,29.64,9,0.2,Rain
3/13/2016,53,47,41,82,29.48,9,0.52,Rain
3/14/2016,48,44,41,86,29.86,11,0.06,Rain-Thunderstorm
3/15/2016,51,46,41,77,30.23,8,0,
3/16/2016,53,47,42,71,30.33,2,0,
3/17/2016,57,47,37,65,30.29,3,0,
3/18/2016,63,52,42,33,30.06,8,0,
3/19/2016,61,54,48,53,30,3,0,
3/20/2016,55,52,48,86,29.82,2,0.08,Rain
3/21/2016,55,50,46,89,29.77,6,0.28,Rain
3/22/2016,57,50,45,81,30.02,7,0.01,Rain
3/23/2016,53,50,48,84,30.18,11,0.13,Rain
3/24/2016,54,49,45,76,30.15,10,0,Rain
3/25/2016,57,50,44,68,30.21,4,0,
3/26/2016,59,50,41,66,30.01,2,0.04,Rain
3/27/2016,51,47,39,88,29.95,9,0.48,Rain
3/28/2016,55,46,37,81,30.19,3,0,Rain
3/29/2016,64,50,37,74,30.15,4,0,
3/30/2016,68,54,43,64,30.07,2,0,
3/31/2016,73,59,46,64,30.1,1,0,
4/1/2016,71,58,46,69,30.15,3,0,
4/2/2016,63,54,48,80,30.15,4,0,
4/3/2016,69,58,46,71,30.02,3,0.12,Rain
4/4/2016,60,54,46,72,30.22,12,0.17,Rain
4/5/2016,57,52,46,77,30.51,8,0,
4/6/2016,68,56,45,67,30.37,4,0,
4/7/2016,77,63,51,65,29.99,4,0,
4/8/2016,75,64,52,64,29.87,2,0,
4/9/2016,66,55,46,73,29.84,2,0,
4/10/2016,59,52,48,71,29.95,7,0,
4/11/2016,57,54,50,67,30.09,6,0,
4/12/2016,60,52,46,79,30.11,8,0.44,Rain
4/13/2016,59,52,46,73,29.98,6,0,Rain
4/14/2016,59,52,45,73,29.81,6,0.2,Rain
4/15/2016,60,54,48,70,30.27,6,0,
4/16/2016,68,56,43,62,30.32,4,0,
4/17/2016,77,64,50,61,30.18,3,0,
4/18/2016,89,70,52,53,30.05,2,0,
4/19/2016,81,68,55,54,29.95,3,0,
4/20/2016,81,67,55,62,29.81,2,0,
4/21/2016,73,63,53,65,29.76,8,0,Rain
4/22/2016,64,58,54,77,29.74,6,0.02,Rain
4/23/2016,64,58,53,75,30,9,0.02,Rain
4/24/2016,55,51,48,83,30.07,6,0.27,Rain
4/25/2016,59,52,46,76,30.2,2,0.1,
4/26/2016,60,52,43,69,30.1,4,0,
4/27/2016,61,56,51,67,30.02,2,0,
4/28/2016,64,58,53,71,30.09,3,0,
4/29/2016,61,55,50,74,30.14,4,0.04,Rain
4/30/2016,68,56,45,64,30.32,3,0,
5/1/2016,77,63,51,56,30.1,3,0,
5/2/2016,87,70,54,48,29.93,3,0,
5/3/2016,73,65,57,65,30.03,3,0,
5/4/2016,60,56,54,72,30.05,5,0,
5/5/2016,68,60,52,65,30.03,4,0,
5/6/2016,77,66,54,48,30.03,3,0,
5/7/2016,82,68,54,50,29.91,2,0,
5/8/2016,63,56,50,72,29.96,7,0.02,Rain
5/9/2016,66,57,48,64,30.11,5,0,
5/10/2016,75,60,46,49,30.21,3,0,
5/11/2016,81,66,52,45,30.04,4,0,
5/12/2016,77,64,52,53,30,3,0,
5/13/2016,82,68,54,56,29.95,5,0,
5/14/2016,64,59,54,83,29.96,5,0,
5/15/2016,57,56,54,91,30.03,6,0,
5/16/2016,60,56,52,82,30.21,3,0,
5/17/2016,71,61,53,64,30.24,4,0,
5/18/2016,64,60,54,74,30.06,2,0,
5/19/2016,63,55,48,83,29.92,7,0.22,Rain
5/20/2016,66,58,51,69,29.81,6,0,
5/21/2016,59,56,52,56,29.82,3,0.04,Rain
5/22/2016,66,60,54,70,29.91,9,0,
5/23/2016,64,59,54,69,29.94,6,0,
5/24/2016,66,62,57,70,29.99,3,0,
5/25/2016,66,60,55,72,30.14,4,0,
5/26/2016,64,58,53,67,30.18,9,0,
5/27/2016,64,57,51,67,30.14,7,0.02,Rain
5/28/2016,64,56,50,78,30.08,9,0.03,Rain
5/29/2016,64,58,53,76,30.14,7,0,
5/30/2016,71,60,48,59,30.26,4,0,
5/31/2016,79,66,55,54,30.06,2,0,
6/1/2016,75,66,59,61,29.94,4,0,
6/2/2016,71,64,59,75,30.05,10,0,
6/3/2016,80,68,57,60,30.21,3,0,
6/4/2016,81,72,63,39,30.05,5,0,
6/5/2016,91,78,66,46,29.88,2,0,
6/6/2016,86,74,64,46,29.88,3,0,
6/7/2016,84,72,59,46,29.81,4,0,
6/8/2016,66,62,57,62,29.87,7,0,Rain
6/9/2016,64,59,54,67,29.93,7,0.06,Rain
6/10/2016,66,58,52,73,30.01,8,0.01,Rain
6/11/2016,64,58,52,79,30.19,6,0.1,Rain
6/12/2016,70,62,55,57,30.24,4,0,
6/13/2016,66,60,54,67,30.01,7,0,Rain
6/14/2016,60,54,48,73,29.94,10,0.05,Rain
6/15/2016,66,56,45,63,29.95,7,0,
6/16/2016,71,61,53,58,30.07,7,0,
6/17/2016,66,60,53,69,30.12,3,0.22,Rain
6/18/2016,64,60,55,79,30.17,5,0.16,Rain
6/19/2016,70,58,48,63,30.34,7,0,
6/20/2016,75,66,57,67,30.17,5,0.29,Rain-Thunderstorm
6/21/2016,73,64,55,74,30.24,9,0.34,Rain
6/22/2016,75,65,57,61,30.06,4,0,Rain
6/23/2016,68,62,55,87,30.01,7,0.34,Rain
6/24/2016,69,60,53,80,30.2,7,0.09,Rain
6/25/2016,71,64,57,68,30.26,6,0,
6/26/2016,78,67,57,63,30.17,4,0,
6/27/2016,84,73,62,55,30.13,4,0,
6/28/2016,79,66,55,75,30.18,6,0,
6/29/2016,73,65,57,80,30.18,5,0,
6/30/2016,73,65,57,73,30.19,5,0,
7/1/2016,75,66,57,73,30.1,3,0,
7/2/2016,75,69,61,70,30.03,4,0,
7/3/2016,71,64,57,72,30.12,5,0,
7/4/2016,68,62,57,72,30.14,7,0,Rain
7/5/2016,69,63,57,72,30.11,5,0,
7/6/2016,75,66,57,63,30.04,3,0,
7/7/2016,68,64,60,78,29.92,6,0.06,Rain
7/8/2016,73,66,60,82,29.89,6,0.14,Rain
7/9/2016,71,64,57,75,29.97,6,0.07,Rain
7/10/2016,73,66,59,72,30.02,3,0,
7/11/2016,73,64,57,68,30.06,7,0,
7/12/2016,77,68,60,64,30.03,3,0,
7/13/2016,75,68,60,59,30.22,4,0,
7/14/2016,77,66,57,62,30.21,5,0,
7/15/2016,75,66,57,60,30.14,3,0,
7/16/2016,72,66,59,62,30.06,6,0,
7/17/2016,80,70,60,60,29.95,2,0,
7/18/2016,73,67,62,69,29.98,4,0,
7/19/2016,78,70,62,59,30.08,5,0,
7/20/2016,82,72,62,54,30.1,3,0,
7/21/2016,81,71,61,57,30.04,4,0,
7/22/2016,71,66,61,73,30.22,7,0.21,Rain
7/23/2016,75,66,60,64,30.24,4,0,
7/24/2016,80,68,57,58,30.09,4,0,
7/25/2016,84,73,62,56,30.04,3,0,
7/26/2016,79,70,60,69,30.13,4,0,
7/27/2016,82,71,60,60,30.1,5,0,
7/28/2016,84,73,62,56,30.07,5,0,
7/29/2016,88,75,64,53,29.95,3,0,
7/30/2016,75,67,59,63,29.94,6,0,
7/31/2016,73,64,57,62,30.04,8,0,
8/1/2016,77,66,55,70,30.06,5,0,
8/2/2016,73,64,57,66,30.13,6,0,
8/3/2016,75,66,60,62,30.24,6,0,
8/4/2016,80,69,59,58,30.04,5,0,
8/5/2016,79,70,61,56,29.92,4,0,
8/6/2016,72,63,55,62,29.97,6,0,
8/7/2016,72,66,60,69,29.92,4,0.03,Rain
8/8/2016,73,64,57,69,29.97,4,0,
8/9/2016,72,66,60,70,30.01,3,0,
8/10/2016,75,68,60,67,30.07,2,0,
8/11/2016,80,70,61,63,30.1,4,0,
8/12/2016,87,75,63,56,30.05,3,0,
8/13/2016,90,78,66,52,29.98,2,0,
8/14/2016,82,71,60,51,30.01,4,0,
8/15/2016,84,72,61,57,30.06,2,0,
8/16/2016,81,69,57,62,30.09,2,0,
8/17/2016,79,70,60,56,30.06,4,0,
8/18/2016,86,73,60,57,30,8,0,
8/19/2016,95,60,26,48,29.96,8,0,
8/20/2016,91,78,64,44,29.87,3,0,
8/21/2016,73,66,60,68,29.89,8,0,
8/22/2016,72,64,57,64,30.07,8,0,
8/23/2016,79,67,55,58,30.16,7,0,
8/24/2016,82,70,57,60,30.18,5,0,
8/25/2016,93,77,61,51,30.05,4,0,
8/26/2016,88,74,60,45,29.89,4,0,
8/27/2016,72,66,61,65,29.88,9,0,
8/28/2016,75,68,59,65,30.06,9,0,
8/29/2016,81,68,55,65,30.02,4,0,
8/30/2016,70,64,57,69,30.01,9,0,
8/31/2016,71,65,59,77,29.97,8,0,Rain
